TRANSECT STRING,
>,
    QUAD,1
ACRONYM,COVER
ASTLAT,15
CORRAC,30
CXNORM,2
GALOBT,3
HELHIR,2
POAPRA,5
PRUVLA,10
RHACAT,20
RHURAD,40
SOLALT,35
>,
    QUAD,2
ACRONYM,COVER
CERVUL,1
CORRAC,15
CXBLAN,5
CXNORM,10
CXVULP,5
FRAVIR,1
HELHIR,10
JUNTEN,5
OXAEUR,1
POTSIS,1
PRUVLA,25
PYCVIR,25
RHACAT,10
RHURAD,3
RUDSUB,20
SOLALT,15
TRIPRA,3
VIOSOR,1
>,
    QUAD,3
ACRONYM,COVER
ALLCER,8
ARITRI,2
ASTPIL,3
BARVUL,8
CINARU,4
CIRLUC,1
ELYVIR,3
GEUCAN,2
PENDIG,25
PERAME,5
RHACAT,10
SOLGIG,20
SPHINT,2
THADAD,20
TRIREC,2
VERURU,4
VERVIR,5
ZIZAUR,40
>,
    QUAD,4
ACRONYM,COVER
ASTLAT,5
ASTSHO,3
CIRARV,10
CIRLUC,4
EUPPUR,5
GALOBT,3
HYSPAT,2
IMPCAP,2
POTSIS,5
RANSEP,15
RHACAT,15
SILSTE,7
SOLALT,2
SPHINT,12
VITRIP,1
ZIZAUR,70
>,
    QUAD,5
ACRONYM,COVER
ALLCAN,5
CINARU,3
CRYCAN,10
CXBLAN,2
GEUCAN,5
HYSPAT,2
LEEVIR,10
OXAEUR,2
PENDIG,35
POLGVI,5
POTSIS,3
RANSEP,10
SPHINT,10
ZIZAUR,60
>,
    QUAD,6
ACRONYM,COVER
AMPBRB,13
ASTLAT,10
CAROVT,5
CRYCAN,5
CXBLAN,18
EUPPUR,15
HELHIR,20
LEEVIR,2
OXAEUR,2
PENDIG,35
POLGVI,2
POTSIS,2
RANSEP,5
RHURAD,3
SOLALT,20
THADIO,10
ZIZAUR,30
>,
    QUAD,7
ACRONYM,COVER
AMPBRB,10
ARITRI,2
ASTLAT,15
BROLAT,2
BROPUB,2
CINARU,2
CRYCAN,5
CXBLAN,5
ELYVIL,1
GERMAC,5
LEEVIR,5
POLGVI,3
POTSIS,10
RANSEP,5
RHACAT,5
RUBOCC,2
SCRMAR,20
SMIECI,5
SOLALT,2
SOLULM,30
SPHINT,8
VERURU,5
VIOSOR,5
ZIZAUR,4
>,
    QUAD,8
ACRONYM,COVER
ANEVIR,6
ARITRI,1
ASTLAT,3
ASTSHO,8
BROPUB,4
CAMSCI,3
CINARU,4
CIRALT,2
CIRLUC,3
CXROSE,2
ELYVIL,2
EUPPUR,8
FRAPES,3
GERMAC,2
HELHIR,10
HYSPAT,5
POLGVI,10
POTSIS,2
RHACAT,1
SCRMAR,15
SMIECI,5
SMILAS,2
SMISTE,1
SOLULM,20
SPHINT,10
THADIO,5
TRIPER,4
TRIREC,2
VERURU,8
>,
    QUAD,9
ACRONYM,COVER
AMPBRB,5
ARIDRA,5
ARITRI,2
CAROVT,3
CXGRAY,5
CXROSE,10
EUPPUR,8
GERMAC,2
HYPPUN,2
LEEVIR,3
MALSIE,8
POLGVI,1
RANSEP,10
RHACAT,2
RUDTRI,10
SCRMAR,15
SOLULM,15
SPHINT,40
TRIPER,2
VIOSOR,7
ZIZAUR,13
>,
    QUAD,10
ACRONYM,COVER
ALLCAN,3
