TRANSECT STRING,
>,
QUAD,1
ACRONYM,   COVER
BROINE,2
CIRVUL,1
CORRAC,2
CRAMOL,3
DACGLO,5
DAUCAR,4
MONFIS,1
PILPUM,1
POAPRA,80
QUEMAC,1
RHAFRA,1
RHURAD,2
SOLALT,4
>,
QUAD,2
ACRONYM,   COVER
BIDFRO,10
CXNORM,5
CIRVUL,1
FESELA,50
GEULAT,8
PLARUG,8
POAPRA,10
PRUVLA,5
RHACAT,25
SCIPEN,5
SOLALT,5
SOLJUN,1
TAROFF,3
>,
QUAD,3
ACRONYM,   COVER
ACARHO,1
EPICOL,1
EUPPUR,5
IMPCAP,15
LEEVIR,8
OXAEUR,1
PILPUM,1
PLARUG,3
RUDSUB,80
SOLALT,10
SOLGIG,10
THADAD,1
TRIREC,1
VERVIR,8
ZIZAUR,2
>,
QUAD,4
ACRONYM,   COVER
ASTSAD,3
CIRLUC,1
EUPPUR,30
HELHIR,10
LEEVIR,1
OXAEUR,1
PILPUM,1
POLPUN,8
RANSEP,10
SILSTE,2
SOLALT,20
SOLULM,5
>,
QUAD,5
ACRONYM,   COVER
ALLCAN,1
ASTSHO,2
BIDFRO,2
CINARU,40
CIRLUC,3
ELYVIR,3
EUPPUR,10
GEUCAN,2
HELHIR,10
LEEVIR,5
PENDIG,15
PILPUM,2
POLPUN,3
POTSIS,2
RANSEP,2
SILSTE,2
SMIECI,1
SOLALT,3
>,
QUAD,6
ACRONYM,   COVER
AMPBRB,2
ARITRI,2
ASTSHO,1
CXBLAN,1
CINARU,50
CIRLUC,6
GEUCAN,4
GLYSTR,2
HELHIR,4
MONFIS,8
PILPUM,2
PLARUG,1
POLPUN,1
RANSEP,15
RUBOCC,10
SOLALT,15
ZIZAUR,3
>,
QUAD,7
ACRONYM,   COVER
ASTPIL,5
BIDFRO,5
CINARU,15
ELYVIR,2
GERMAC,5
GEUCAN,10
PILPUM,1
QUEMAC,1
RANSEP,1
RHACAT,10
ROSMUL,2
SOLCAE,1
POLGVI,8
ZIZAUR,2
>,
QUAD,8
ACRONYM,   COVER
ARITRI,2
ASTLAT,1
ASTSHO,2
ASTSIS,4
FRAVIR,1
GERMAC,2
POTSIS,1
RHACAT,90
RUBOCC,5
SCRMAR,4
SMISTE,1
SMILAS,3
SOLCAE,4
SOLGRN,2
SOLULM,8
>,
QUAD,9
ACRONYM,   COVER
ARITRI,1
ASTLAT,3
ASTSHO,6
CXBLAN,1
CINARU,1
CIRLUC,11
CORRAC,5
FRAVIR,2
GERMAC,2
HERMAX,3
IMPCAP,1
OXAEUR,1
PILPUM,4
POTSIS,5
RANSEP,30
RHACAT,10
RHAFRA,8
RUDTRI,1
SMISTE,1
SOLALT,3
SOLCAE,3
SOLFLE,1
SOLULM,30
>,
QUAD,10
ACRONYM,   COVER
ASTLAT,1
ASTMAC,15
FRAVIR,2
GERMAC,2
GEULAT,10
IMPCAP,10
OXAEUR,1
POLGVI,2
PRUVIR,4
RHACAT,10
RHURAD,1
RUBOCC,40
SCRMAR,2
SMISTE,1
SOLALT,15
SOLFLE,10
THADAD,3
>,
QUAD,11
ACRONYM,   COVER
ASTSIS,2
CIRLUC,3
CORRAC,6
FRAVIR,4
GEUCAN,10
HELHIR,10
IMPCAP,30
