TRANSECT STRING,
>,
QUAD,1
ACRONYM,   COVER
ASTPIL,2
BIDFRO,3
BROINE,15
CXNORM,5
CIRARV,1
CORRAC,5
DAUCAR,12
OXAEUR,1
POAPRA,40
RHACAT,1
SOLALT,15
>,
QUAD,2
ACRONYM,   COVER
ASTLAT,3
BIDFRO,3
CXNORM,15
CIRARV,5
DAUCAR,1
FESELA,10
GEUCAN,2
PLARUG,20
POAPRA,10
POTSIS,4
PRUVLA,2
RHACAT,25
RUDSUB,2
SOLALT,5
TAROFF,1
VIOSOR,1
>,
QUAD,3
ACRONYM,   COVER
ALLCER,2
ASTLAT,5
CXBLAN,4
CINARU,5
HYSPAT,1
IMPCAP,40
LEEVIR,2
OXAEUR,1
PLARUG,3
RUDSUB,60
SOLALT,25
THADAD,5
VERVIR,4
ZIZAUR,10
>,
QUAD,4
ACRONYM,   COVER
ARITRI,2
ASTLAT,8
BIDFRO,2
CXBLAN,5
CINARU,2
CIRLUC,5
EUPPUR,10
HELHIR,10
HYSPAT,3
PENDIG,5
RANSEP,30
RUDSUB,30
SILSTE,4
SOLALT,90
SOLULM,15
VITRIP,1
ZIZAUR,5
>,
QUAD,5
ACRONYM,   COVER
ARITRI,3
BIDFRO,25
CXBLAN,15
CINARU,10
HELHIR,10
IMPCAP,5
LEEVIR,80
PENDIG,30
POLPUN,2
POTSIS,5
RANSEP,5
RHACAT,2
RUDSUB,5
SILSTE,2
SOLALT,10
ZIZAUR,5
>,
QUAD,6
ACRONYM,   COVER
AMPBRB,8
ASTLAT,5
ASTSAD,3
ASTSHO,2
CIRLUC,5
CRYCAN,1
IMPCAP,40
MONFIS,25
RANSEP,10
RHURAD,1
RUBOCC,5
SOLALT,30
>,
QUAD,7
ACRONYM,   COVER
ASTLAT,10
ASTSHO,2
BIDFRO,50
CXBLAN,2
CHESTA,2
CINARU,6
CIRARV,10
ELYVIL,2
ELYVIR,4
GERMAC,2
IMPCAP,80
LEEVIR,3
RHACAT,20
SOLULM,10
POLGVI,10
ZIZAUR,5
>,
QUAD,8
ACRONYM,   COVER
AMPBRB,1
ARITRI,2
ASTLAT,4
ERIANS,2
EUPPUR,5
GERMAC,5
HELHIR,3
IMPCAP,5
POTSIS,2
RHACAT,80
RHAFRA,2
RUBOCC,10
SMIECI,4
SOLCAE,2
SOLGRN,8
SOLULM,15
TRIREC,1
>,
QUAD,9
ACRONYM,   COVER
ARIDRA,1
ARITRI,5
ASTLAT,5
ASTSHO,8
BROPUB,2
CINARU,2
CIRLUC,5
HELAUT,10
HYPPUN,2
IMPCAP,25
POTSIS,10
RANSEP,15
RHACAT,20
RHAFRA,20
RIBAME,4
RUBOCC,10
SMISTE,1
SOLALT,15
SOLULM,30
VIOPUB,1
VIOSOR,5
>,
QUAD,10
ACRONYM,   COVER
ASTLAT,5
ASTMAC,10
CIRLUC,4
GEUCAN,1
IMPCAP,40
SOLALT,50
SOLFLE,3
THADAD,15
POLGVI,5
>,
QUAD,11
ACRONYM,   COVER
ASTLAT,5
CXBLAN,2
CORRAC,5
FRAVIR,2
GEUCAN,2
HELHIR,8
IMPCAP,40
OXAEUR,2
POTSIS,10
PREALB,2
PRUVIR,3
SMISTE,1
TRIPER,30
VIOSOR,3
VITRIP,1
>,
